provided_interaction_type_label,provided_interaction_type_id,mapped_to_interaction_type_label,mapped_to_interaction_type_id
predacious,,preysOn,http://purl.obolibrary.org/obo/RO_0002439
herbivorous,,eats,http://purl.obolibrary.org/obo/RO_0002470
detritivorous,,eats,http://purl.obolibrary.org/obo/RO_0002470
bacterivorous,,eats,http://purl.obolibrary.org/obo/RO_0002470
fungivorous,,eats,http://purl.obolibrary.org/obo/RO_0002470
parasitic,,parasiteOf,http://purl.obolibrary.org/obo/RO_0002444
parasitoid,,parasitoidOf,http://purl.obolibrary.org/obo/RO_0002208
